is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-2.9825237709006203,0.03656,0.30682,0.24015,GMT-USDT,POWR-USDT,0,34.73547,0.273
True,-3.1653794102740935,0.02208,1.69745,0.05973,GMT-USDT,MANA-USDT,0,25.16614,0.928
True,-3.514961890330723,0.00761,-0.07469,1.94134,ACE-USDT,ZETA-USDT,0,23.72025,-0.25
True,-3.390995500265531,0.01127,0.0131,0.04162,ACE-USDT,1000LUNC-USDT,0,18.23996,0.737
True,-4.995531878429302,2e-05,0.07012,0.23954,ACE-USDT,LUNA2-USDT,0,5.0967,0.849
True,-3.1146769642939574,0.02549,0.00032,0.00207,ACE-USDT,LEVER-USDT,0,31.46342,0.333
True,-3.642890165130744,0.00499,1.17777,33.59711,ACE-USDT,EGLD-USDT,0,28.71267,0.253
True,-3.6481958345867813,0.0049,0.98053,4.54894,ACE-USDT,XVS-USDT,0,17.38254,0.797
True,-3.604926789601038,0.00567,-0.00152,0.11635,ACE-USDT,HBAR-USDT,0,26.21196,-0.172
True,-3.0493500891547964,0.03054,0.00225,0.03217,ACE-USDT,GALA-USDT,0,17.68055,0.362
True,-3.9587278504293466,0.00164,0.05756,0.39128,ACE-USDT,COMBO-USDT,0,19.09178,0.642
True,-3.229449191657041,0.01834,0.0278,0.04366,ACE-USDT,RDNT-USDT,0,17.67794,0.879
True,-2.8921811361845657,0.04626,6.14803,-14.62281,ACE-USDT,AUCTION-USDT,0,22.67922,0.865
True,-2.9172778529571364,0.04338,-0.2184,2.92032,ACE-USDT,LSK-USDT,0,37.01736,-0.432
True,-3.199976452592912,0.01999,0.00237,0.00972,ACE-USDT,USTC-USDT,0,25.29857,0.53
True,-4.26158712253071,0.00052,0.09058,0.34658,ACE-USDT,PORTAL-USDT,0,14.68167,0.72
True,-4.219897762014011,0.00061,0.04698,-0.00149,GMT-USDT,AMB-USDT,0,16.36753,0.872
True,-3.1653533375908927,0.02208,47.62598,-6.60596,GMT-USDT,ETHFI-USDT,0,26.3114,0.851
True,-3.7789203647854612,0.00313,-0.02016,2.0434,ZEC-USDT,ZETA-USDT,0,22.22449,-0.221
True,-2.924968401952067,0.04252,16.4397,-0.59603,GMT-USDT,BOND-USDT,0,29.07309,0.87
True,-3.329040182630377,0.01363,-8.43492,3.67946,GMT-USDT,LSK-USDT,0,26.88222,-0.524
True,-2.9116991987269882,0.044,0.05952,0.00861,GMT-USDT,USTC-USDT,0,30.54612,0.464
True,-3.471426906917969,0.00875,24.82328,-3.50742,GMT-USDT,LDO-USDT,0,20.75257,0.869
True,-3.0679173268242335,0.02902,401.47517,-71.5712,GMT-USDT,ENS-USDT,0,22.11246,0.935
True,-4.278202645917091,0.00048,3.18517,0.1016,GMT-USDT,PORTAL-USDT,0,12.72382,0.808
True,-3.647867008251058,0.00491,3.83025,-0.24786,GMT-USDT,KNC-USDT,0,20.66529,0.956
True,-2.8746482638841098,0.04838,23.33596,-1.52712,GMT-USDT,BAL-USDT,0,19.66277,0.959
True,-3.01392094857213,0.03361,15.54426,-2.80554,GMT-USDT,EDU-USDT,0,28.6551,0.93
True,-3.64063300560672,0.00503,0.35891,0.02054,GMT-USDT,OXT-USDT,0,19.38882,0.839
True,-3.9908904867198287,0.00146,0.00983,-0.00015,GMT-USDT,REEF-USDT,0,8.06758,0.967
True,-3.435955434739306,0.00979,7.87257,-0.88062,GMT-USDT,YGG-USDT,0,22.35513,0.895
True,-2.9242534722705438,0.0426,2.54514,-0.26162,GMT-USDT,WOO-USDT,0,17.18783,0.922
True,-3.288935193166807,0.01538,32761.28176,-4011.87592,GMT-USDT,ETH-USDT,0,24.02177,0.917
True,-3.7862076313722715,0.00305,18098.45848,2935.70209,GMT-USDT,YFI-USDT,0,13.09583,0.916
True,-3.8518712079756243,0.00242,795.33193,-85.35369,GMT-USDT,AAVE-USDT,0,17.42185,0.95
True,-3.2998747566324838,0.01488,302.05087,-9.46089,GMT-USDT,COMP-USDT,0,12.72462,0.956
True,-3.532840319699375,0.00718,-0.38501,0.20628,GMT-USDT,TRX-USDT,0,21.30012,-0.697
True,-3.3367263811466827,0.01331,11.09231,-0.91304,GMT-USDT,BAND-USDT,0,23.36541,0.908
True,-3.4850069409069637,0.00838,132.61081,-21.1578,GMT-USDT,UNI-USDT,0,21.51569,0.901
True,-3.7261659052219205,0.00376,0.63642,1.11392,ACE-USDT,BADGER-USDT,0,25.52732,0.845
True,-2.9787471216682024,0.03693,0.0027,0.00335,ACE-USDT,TLM-USDT,0,21.04995,0.844
True,-2.971770304266568,0.03762,-0.3714,5.78837,ACE-USDT,JTO-USDT,0,40.16613,-0.33
True,-4.229902918491426,0.00059,0.01116,0.04325,ACE-USDT,OXT-USDT,0,14.71851,0.853
True,-3.0998906728738924,0.02656,10.88573,3.71523,COTI-USDT,GAS-USDT,0,22.76837,0.732
True,-3.2804937834663286,0.01577,155.07768,7.72863,COTI-USDT,NMR-USDT,0,30.54908,0.871
True,-2.8749557802639596,0.04834,0.71567,0.13009,COTI-USDT,CFX-USDT,0,32.17376,0.757
True,-4.718744606665879,8e-05,126.18937,9.01243,COTI-USDT,INJ-USDT,0,21.76502,0.885
True,-2.90610481210286,0.04464,1.24159,0.53215,COTI-USDT,COMBO-USDT,0,26.45527,0.452
True,-3.4026569742703057,0.01087,2.12028,0.5466,COTI-USDT,EOS-USDT,0,23.29013,0.761
True,-3.0578012569955715,0.02984,0.34267,0.04062,COTI-USDT,LOOM-USDT,0,45.11038,0.855
True,-2.94306508264464,0.04056,0.08408,0.01141,COTI-USDT,USTC-USDT,0,27.47756,0.526
True,-3.498538953188418,0.00802,1.781,0.58986,COTI-USDT,PORTAL-USDT,0,21.20835,0.48
