is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life
True,-3.2590389249143032,0.01681,0.00991,0.0422,LINK-USDT,XLM-USDT,6,339.79916
True,-3.695694976838347,0.00417,0.27629,0.51529,KNC-USDT,1INCH-USDT,6,680.89064
True,-5.1664119849063885,1e-05,0.00138,0.02516,AXS-USDT,XEM-USDT,5,149.5582
True,-3.4584192410493526,0.00912,8.25615,-0.27737,DOGE-USDT,ALGO-USDT,5,342.60406
True,-3.6595882076902115,0.00472,0.00806,0.01467,ALICE-USDT,ANKR-USDT,5,193.21691
True,-4.298239218853894,0.00045,158.00278,0.60753,LINA-USDT,OMG-USDT,5,225.77451
True,-4.959393919562223,3e-05,3295.75102,21.9665,LINA-USDT,DASH-USDT,5,263.27807
True,-5.039834369997649,2e-05,2.21518,14.46739,ZEN-USDT,DASH-USDT,5,157.78258
True,-3.7475599031112226,0.00349,0.0261,0.64613,SOL-USDT,XTZ-USDT,5,173.76094
True,-4.2959351635506255,0.00045,3e-05,-0.2874,BTC-USDT,ALGO-USDT,5,458.92
True,-3.884223187917425,0.00215,961.04491,-5.64205,IOST-USDT,FIL-USDT,5,238.31989
True,-3.126887294139468,0.02463,0.52772,-0.02801,OGN-USDT,GALA-USDT,5,458.26096
True,-3.74819700331774,0.00348,339.41368,-2.03392,IOST-USDT,ALICE-USDT,5,279.32017
True,-4.861080016104535,4e-05,33.63887,-0.48057,XEM-USDT,CRV-USDT,5,352.92063
True,-3.8254299022412637,0.00266,0.00287,-0.0354,ZEC-USDT,ALPHA-USDT,5,467.30073
True,-3.3530336881828213,0.01267,2.22094,0.82208,SXP-USDT,KAVA-USDT,5,353.89303
True,-2.8871589688759416,0.04686,0.3569,0.77696,SUSHI-USDT,EOS-USDT,5,347.69997
True,-3.0915583144072616,0.02718,75.36826,-0.49035,IOST-USDT,C98-USDT,5,265.78708
True,-3.645551456298969,0.00495,0.01359,0.05479,ANT-USDT,DOGE-USDT,5,225.86099
True,-3.2627383424857817,0.01663,73.95021,-0.39808,IOST-USDT,ENJ-USDT,5,285.16707
True,-4.252090138206601,0.00054,11.95939,41.90514,ANT-USDT,LTC-USDT,5,188.11377
True,-4.174537627840547,0.00073,9.05993,0.87788,GRT-USDT,OMG-USDT,5,131.51648
True,-3.343073403890292,0.01306,0.46884,-0.21581,EOS-USDT,ALGO-USDT,5,325.41229
True,-4.826044953880931,5e-05,0.54879,0.09009,ICX-USDT,ONT-USDT,5,87.06989
True,-4.238309495976318,0.00057,0.0937,-0.10297,SNX-USDT,ALPHA-USDT,5,217.49954
True,-4.496294821245421,0.0002,0.07734,0.01889,LRC-USDT,XEM-USDT,5,224.03095
True,-3.1704608379162105,0.02176,0.40567,-0.54082,SNX-USDT,C98-USDT,5,279.96351
True,-4.46117978860406,0.00023,10.4763,26.02522,GTC-USDT,DASH-USDT,5,257.99979
True,-4.490680955119437,0.0002,0.18277,0.75838,FIL-USDT,OMG-USDT,5,161.69805
True,-4.821716534690369,5e-05,9.26435,-1.99052,ADA-USDT,ALICE-USDT,5,183.74688
True,-3.2238479062936154,0.01865,0.00034,-0.1121,MKR-USDT,OCEAN-USDT,5,297.29066
True,-3.073825113629761,0.02855,61.36882,2.29348,GALA-USDT,WAVES-USDT,5,743.71311
True,-4.937005712617244,3e-05,0.56168,-1.83527,LINK-USDT,ALICE-USDT,5,167.78904
True,-4.042120918465896,0.00121,19.33823,-25.9171,QTUM-USDT,SOL-USDT,5,169.72761
True,-3.54155123350618,0.00698,0.00107,-0.43859,MKR-USDT,ENJ-USDT,5,257.02344
True,-4.745728385957336,7e-05,0.00018,-0.10287,MKR-USDT,GALA-USDT,5,204.5759
True,-3.168273843475936,0.0219,28.3556,45.91911,SUSHI-USDT,AAVE-USDT,5,305.04029
True,-2.985541118104903,0.03627,0.01054,-0.31064,LTC-USDT,ALGO-USDT,5,458.5944
True,-4.189993739180346,0.00069,0.00024,-0.08953,MKR-USDT,ALPHA-USDT,5,271.82975
